repository,topic,review_status
0xsline/awesome-deepseek-harness,dsh-plugin,unreviewed
0xsline/dsh-spotlight,dsh-plugin,unreviewed
1690834643/dsh-usage-dashboard,dsh-plugin,unreviewed
1na-ko/dsh-hdc-bridge,dsh-plugin,unreviewed
384961890-ui/pawin-brain-deepseek-harness,dsh-plugin,unreviewed
918154429/dsh-codex-import,dsh-plugin,unreviewed
AdamPlatin123/awesome-dsh-plugins,dsh-plugin,unreviewed
AdamPlatin123/dsh-tonghuashun,dsh-plugin,unreviewed
Alex-Yanggg/awesome-DSH-plugin,dsh-plugin,unreviewed
Alyosha28/deep_option,dsh-plugin,unreviewed
AnacondaKC/dsh-custom-css,dsh-plugin,unreviewed
AnacondaKC/dsh-douyin,dsh-plugin,unreviewed
AnacondaKC/dsh-stock-market,dsh-plugin,unreviewed
Andy8647/dsh-auto-approval,dsh-plugin,unreviewed
Anionex/agent-vision-toolkit,dsh-plugin,unreviewed
Anionex/dsh-computer-use,dsh-plugin,unreviewed
Anionex/dsh-turn-rewind,dsh-plugin,unreviewed
Anionex/dsh-vision-toolkit,dsh-plugin,unreviewed
ArtificialNotImbecile/dsh-context-taxonomy,dsh-plugin,unreviewed
Bandersnatch0x/amber-protocol,dsh-plugin,unreviewed
BeAChanger/dsh-openclaw-acp,dsh-plugin,unreviewed
BruceWu1126/dsh-web-background,dsh-plugin,unreviewed
Buyi-wsgzg/dsh-sidechain,dsh-plugin,unreviewed
CanglongCl/dsh-web-review,dsh-plugin,unreviewed
Chinesezjc/dsh-interconnect,dsh-plugin,unreviewed
Degurechaff57/dsh-openapi,dsh-plugin,unreviewed
Demogorgon314/dsh-resume-plugin,dsh-plugin,unreviewed
Dominic789654/awesome-deepseek-harness,dsh-plugin,unreviewed
Drifter-yh/dsh-tool-policy,dsh-plugin,unreviewed
Elaina-real/dsh-tiered-approval,dsh-plugin,unreviewed
Electricitysheep/dsh-handbook,dsh-plugin,unreviewed
Electricitysheep/dsh-tool-turbo,dsh-plugin,unreviewed
Ericwong5021/dsh-taskboard,dsh-plugin,unreviewed
Fisfzy/ego-browser,dsh-plugin,unreviewed
Fisfzy/math-lean,dsh-plugin,unreviewed
Fisfzy/zotero-harvest,dsh-plugin,unreviewed
Fisfzy/zotero-wave-rag,dsh-plugin,unreviewed
FlashingChen/dsh-worktree,dsh-plugin,unreviewed
Flyvhidbwo/dsh-vision-proxy,dsh-plugin,unreviewed
GooodWei/dsh-command-context,dsh-plugin,unreviewed
HackSing/dsh-plugins,dsh-plugin,unreviewed
Han-1413141/dsh-sticky-disclosure,dsh-plugin,unreviewed
HaoyueQin/deepseek-harness-desktop,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-aigc-canvas,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-anti-ads,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-better-sidebar-plugin-office,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-d399,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-interpreters,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-mineru,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-pet-rs,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-sleep,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-ya-workspace-sidebar,dsh-plugin,unreviewed
HuanLinOTO/dsh-plugin-yet-another-subagent,dsh-plugin,unreviewed
JasonJin2006/dsh-sound-effects-plugin,dsh-plugin,unreviewed
KnCRJVirX/dsh-desktop,dsh-plugin,unreviewed
Komeiji-Shiki/graycode-for-dsh,dsh-plugin,unreviewed
LJH-snow/dsh-tool-github,dsh-plugin,unreviewed
LaplaceYoung/dsh-qq2006,dsh-plugin,unreviewed
LaplaceYoung/oh-my-dsh,dsh-plugin,unreviewed
LiangYin233/dsh-model-config-sync,dsh-plugin,unreviewed
LingLambda/dsh-undo,dsh-plugin,unreviewed
Linmoqian/deepseek-harness-cli,dsh-plugin,unreviewed
Liu-ty/dsh-balance-display,dsh-plugin,unreviewed
LoserFox/distill,dsh-plugin,unreviewed
LoserFox/dsh-git-identity,dsh-plugin,unreviewed
LoserFox/telegram,dsh-plugin,unreviewed
Lum1104/dsh-browser,dsh-plugin,unreviewed
Mappedinfo/PlainDeck,dsh-plugin,unreviewed
Moeblack/dsh-message-edit,dsh-plugin,unreviewed
Moeblack/dsh-payload-capture,dsh-plugin,unreviewed
Moeblack/dsh-prompt-studio,dsh-plugin,unreviewed
Moeblack/dsh-skins,dsh-plugin,unreviewed
Mongfayi/dsh-local-filetree,dsh-plugin,unreviewed
MuziIsabel/dsh-win-notify,dsh-plugin,unreviewed
Nagi-ovo/dsh-ads,dsh-plugin,unreviewed
Nagi-ovo/dsh-find-plugins,dsh-plugin,unreviewed
Nagi-ovo/dsh-visualize,dsh-plugin,unreviewed
NanmiCoder/dsh-agent-teams,dsh-plugin,unreviewed
Nwflower/dsh-chat-import,dsh-plugin,unreviewed
PM-Shawn/Abu-Cowork,dsh-plugin,unreviewed
PangYiMing/dsh-batch-regression,dsh-plugin,unreviewed
PangYiMing/dsh-bisect-debug,dsh-plugin,unreviewed
PangYiMing/dsh-browser-control,dsh-plugin,unreviewed
PangYiMing/dsh-mobile-control,dsh-plugin,unreviewed
PangYiMing/dsh-screenshot-diff,dsh-plugin,unreviewed
PeanutsDou/peanut-dsh-plugin,dsh-plugin,unreviewed
PixLunaLab/dsh-pixluna,dsh-plugin,unreviewed
Proton1917/dsh-live-stats,dsh-plugin,unreviewed
RYun601/dsh-launcher,dsh-plugin,unreviewed
RealAlexandreAI/dsh-all-search,dsh-plugin,unreviewed
RealAlexandreAI/dsh-atuin,dsh-plugin,unreviewed
RealAlexandreAI/dsh-cloudflare-browser-run,dsh-plugin,unreviewed
RealAlexandreAI/dsh-nocturne-memory,dsh-plugin,unreviewed
Roy-oss1/dsh-lark,dsh-plugin,unreviewed
Ruler4396/dsh-launcher,dsh-plugin,unreviewed
SakalioLabs/dsh-code-ide,dsh-plugin,unreviewed
Scorp1o117/dsh-plugin-marketplace,dsh-plugin,unreviewed
Scorp1o117/dsh-soul-md,dsh-plugin,unreviewed
Scorp1o117/dsh-tdai-memory,dsh-plugin,unreviewed
SenmuuuuW/dsh-group-photo,dsh-plugin,unreviewed
Sev7een/ds-api-usage,dsh-plugin,unreviewed
ShawnSiao/dsh-agent-eval,dsh-plugin,unreviewed
ShawnSiao/dsh-credentials-keychain,dsh-plugin,unreviewed
SiYue-ZO/dsh-translator,dsh-plugin,unreviewed
Small-tailqwq/dsh-deep-whale,dsh-plugin,unreviewed
Small-tailqwq/dsh-deepcel,dsh-plugin,unreviewed
THU-MAIC/dsh-openmaic,dsh-plugin,unreviewed
TecFancy/dsh-deeptutor,dsh-plugin,unreviewed
Thhoho/reSanity,dsh-plugin,unreviewed
Tieboyh/dsh-session-search,dsh-plugin,unreviewed
Totoro-qaq/Cobsidian,dsh-plugin,unreviewed
TwotwoPiggy/dsh-balance,dsh-plugin,unreviewed
Void0312Aurora/dsh-desktop-electron,dsh-plugin,unreviewed
WardLu/shadow-vision,dsh-plugin,unreviewed
XYZ1024-alt/dsh-side-panel,dsh-plugin,unreviewed
Xilin3/dsh-prompt-persona,dsh-plugin,unreviewed
YYTbit/dsh-plugin-agent-dashboard,dsh-plugin,unreviewed
YYTbit/dsh-plugin-auto-docs,dsh-plugin,unreviewed
YYTbit/dsh-plugin-claude-bridge,dsh-plugin,unreviewed
YYTbit/dsh-plugin-code-review,dsh-plugin,unreviewed
YYTbit/dsh-plugin-codex-bridge,dsh-plugin,unreviewed
YYTbit/dsh-plugin-context-compressor,dsh-plugin,unreviewed
YYTbit/dsh-plugin-meta-memory,dsh-plugin,unreviewed
YYTbit/dsh-plugin-opencode-bridge,dsh-plugin,unreviewed
YYTbit/dsh-plugin-rag,dsh-plugin,unreviewed
YYTbit/dsh-plugin-vision-toolkit,dsh-plugin,unreviewed
YunTaiHua/illusion-agent,dsh-plugin,unreviewed
ZSeven-W/dsh-openpencil,dsh-plugin,unreviewed
ZeroHackz/GUI-SAM2Matting,dsh-plugin,unreviewed
ZeroHackz/OpenFlowFrames,dsh-plugin,unreviewed
Zhenyu98/dsh-context-doctor,dsh-plugin,unreviewed
a179-sanae/dsh-code-check,dsh-plugin,unreviewed
alaliqing/claude-paper,dsh-plugin,unreviewed
alingalingling/ui-status-label,dsh-plugin,unreviewed
anweat/dsh-web-search-pro,dsh-plugin,unreviewed
awesome-dsh-plugin/awesome-dsh-plugin,dsh-plugin,unreviewed
ben7am1n/dsh-browser,dsh-plugin,unreviewed
ben7am1n/dsh-claude-marketplace,dsh-plugin,unreviewed
ben7am1n/dsh-deepseek-usage,dsh-plugin,unreviewed
ben7am1n/dsh-lens-lite,dsh-plugin,unreviewed
ben7am1n/dsh-mcp-proxy,dsh-plugin,unreviewed
ben7am1n/dsh-telegram,dsh-plugin,unreviewed
ben7am1n/dsh-webhook-bridge,dsh-plugin,unreviewed
bill9109/dsh-101,dsh-plugin,unreviewed
bill9109/dsh-conversation-share,dsh-plugin,unreviewed
bill9109/dsh-drag-and-drop,dsh-plugin,unreviewed
bill9109/dsh-web-ui-notify,dsh-plugin,unreviewed
bill9109/dsh-webbridge,dsh-plugin,unreviewed
bitterSmilezzz/dsh-mac-desktop,dsh-plugin,unreviewed
bitterSmilezzz/dsh-skill-manager,dsh-plugin,unreviewed
bobleer/dsh-acp-for-bitfun,dsh-plugin,unreviewed
bradeGithub/DSH-Plugins-Marketplace,dsh-plugin,unreviewed
bruc3van/awesome-dsh-plugin,dsh-plugin,unreviewed
bruc3van/dsh-desktop,dsh-plugin,unreviewed
btspoony/dsh-advisor,dsh-plugin,unreviewed
btspoony/mstar-harness,dsh-plugin,unreviewed
ccch1mneyyy/dsh-cc-tui,dsh-plugin,unreviewed
ccch1mneyyy/dsh-working-activity,dsh-plugin,unreviewed
ccq1/dsh-side-panel,dsh-plugin,unreviewed
chen-001/dsh-chat-width,dsh-plugin,unreviewed
chen-001/dsh-grok-tui,dsh-plugin,unreviewed
cking000bigdemon/dsh-toolbelt,dsh-plugin,unreviewed
codeAnqiang-ma/dsh-superpowers,dsh-plugin,unreviewed
cofy-x/axern,dsh-plugin,unreviewed
coppynight/dsh-doctor,dsh-plugin,unreviewed
crayonlu/dsh-web-search-firecrawl,dsh-plugin,unreviewed
csyangwen/dsh-memory-evolve,dsh-plugin,unreviewed
cute-baobao/dsh-usage-meter,dsh-plugin,unreviewed
dbydd/dsh-onlyne,dsh-plugin,unreviewed
deepseek-ai/deepseek-harness,dsh-plugin,unreviewed
detpecca/DSH-Wiki,dsh-plugin,unreviewed
detpecca/dsh-llm-wiki,dsh-plugin,unreviewed
dingyi222666/dsh-focus-chat,dsh-plugin,unreviewed
dingyi222666/dsh-session-notification,dsh-plugin,unreviewed
echo-escape/dsh-workbench,dsh-plugin,unreviewed
emredeveloper/deepseek-harness-huggingface,dsh-plugin,unreviewed
fakechris/dsh-harness-ops,dsh-plugin,unreviewed
fakechris/dsh-track,dsh-plugin,unreviewed
fengzhiyushui/dsh-desktop-window,dsh-plugin,unreviewed
forrestchang/dsh-multica-runtime,dsh-plugin,unreviewed
fuhefei/dsh-sentinel,dsh-plugin,unreviewed
gordonlu/dsh-context-lens,dsh-plugin,unreviewed
gxpppp/dsh-search-mcp,dsh-plugin,unreviewed
hanelalo/browser-bridge,dsh-plugin,unreviewed
happyren/dsh-agent-messaging,dsh-plugin,unreviewed
hashdiana/dsh-token-usage,dsh-plugin,unreviewed
havingautism/dsh-deepresearch,dsh-plugin,unreviewed
havingautism/dsh-notebooks,dsh-plugin,unreviewed
havingautism/dsh-ultra-ui,dsh-plugin,unreviewed
haytham818/dsh-notify,dsh-plugin,unreviewed
hellodigua/dsh-emoji,dsh-plugin,unreviewed
hellodigua/dsh-share,dsh-plugin,unreviewed
hikariming/dshfind,dsh-plugin,unreviewed
